distance_range,start_zone,total_frequency,district,city,city_code,population_district
[7458-11180],441202,14835,端州区,肇庆市,V0441200,602402
[7458-11180],441203,6971,鼎湖区,肇庆市,V0441200,209116
[7458-11180],441204,15638,高要区,肇庆市,V0441200,741591
[7458-11180],441223,5621,广宁县,肇庆市,V0441200,408112
[7458-11180],441224,3689,怀集县,肇庆市,V0441200,805177
[7458-11180],441225,2282,封开县,肇庆市,V0441200,374848
[7458-11180],441226,2903,德庆县,肇庆市,V0441200,331438
[7458-11180],441284,15643,四会市,肇庆市,V0441200,640910
[7458-11180],441302,86760,惠城区,惠州市,V0441300,2090578
[7458-11180],441303,41764,惠阳区,惠州市,V0441300,1404137
[7458-11180],441322,21704,博罗县,惠州市,V0441300,1210878
[7458-11180],441323,11900,惠东县,惠州市,V0441300,1018076
[7458-11180],441324,3255,龙门县,惠州市,V0441300,319183
[7458-11180],442000,209535,中山市,中山市,V0442000,4418060
[18469-35640],441203,6703,鼎湖区,肇庆市,V0441200,209116
